#,Player,Team,GP,MPG,PPG,PPG_Grade,FGM,FGA,FG%,FG%_Grade,3PM,3PA,3P%,3P%_Grade,FTM,FTA,FT%,FT%_Grade,ORB,DRB,RPG,RPG_Grade,APG,APG_Grade,SPG,SPG_Grade,BPG,BPG_Grade,TOV,PF,OVR_Grade
75,Ethan Roberts,PENN,18,32.9,17.8,90,6.1,13.6,0.447,90,2.4,6.3,0.389,87,3.3,4.1,0.797,78,1.8,4.0,5.8,73,2.4,69,0.8,76,0.1,62,2.2,2.3,79
76,Gibson Jimerson,STLOU,22,37.8,17.8,90,5.7,12.8,0.448,90,3.0,8.2,0.37,86,3.3,3.9,0.837,82,0.8,3.5,4.3,69,0.8,61,0.7,74,0.2,63,1.2,1.5,77
77,Don McHenry,WKU,22,28.1,17.8,90,5.9,14.5,0.406,88,2.1,6.5,0.329,81,3.9,4.7,0.827,81,0.8,2.3,3.1,66,1.7,66,1.6,86,0.0,60,1.5,1.5,78
78,Tyson Degenhart,BOISE,22,32.9,17.7,90,5.8,11.1,0.52,96,1.1,3.8,0.289,77,5.1,6.3,0.812,80,1.9,4.0,6.0,74,1.5,64,0.4,69,0.1,62,1.2,2.0,77
79,Jordan Marsh,UNCA,22,28.3,17.7,90,6.5,14.2,0.462,92,1.1,3.8,0.286,77,3.5,4.2,0.839,82,0.9,3.2,4.1,69,4.0,72,1.5,85,0.4,67,2.3,3.1,80
80,Austin Benigni,USNA,23,32.5,17.7,90,5.4,13.1,0.414,88,1.0,2.9,0.364,85,5.8,6.7,0.864,85,0.7,2.7,3.3,67,4.3,74,0.9,78,0.2,63,2.0,2.7,79
81,Nique Clifford,COLST,21,34.7,17.7,90,6.5,13.0,0.5,95,1.6,4.8,0.337,82,3.0,4.0,0.741,73,1.4,8.2,9.6,96,4.1,73,1.1,82,0.6,74,2.8,2.5,84
82,Blaise Threatt,WEBER,21,33.0,17.7,90,6.9,13.1,0.522,96,0.7,2.2,0.326,81,3.2,4.8,0.68,67,1.2,4.2,5.5,72,4.1,73,2.2,91,0.0,60,1.8,2.3,79
83,Cedric Coward,WSU,6,32.8,17.7,90,5.7,10.2,0.557,97,2.0,5.0,0.4,89,4.3,5.2,0.839,82,1.8,5.2,7.0,76,3.7,71,0.8,76,1.7,85,2.2,2.7,84
84,Simeon Cottle,KENN,22,31.1,17.6,90,5.2,14.2,0.369,84,2.8,8.9,0.318,80,4.4,4.8,0.914,90,0.3,2.3,2.5,65,3.2,69,0.9,78,0.2,63,2.7,1.9,78
85,Tanahj Pettway,PVAMU,22,30.1,17.6,90,6.2,13.5,0.459,91,1.6,5.0,0.33,82,3.6,5.3,0.684,67,1.2,2.0,3.3,67,1.1,62,1.2,83,0.0,60,2.5,2.3,76
86,Marquel Sutton,OMAHA,24,31.8,17.6,90,6.3,13.5,0.466,92,0.8,2.8,0.288,77,4.3,5.9,0.723,71,1.4,6.0,7.5,79,1.2,62,0.8,76,0.3,65,1.9,2.2,77
87,Graham Ike,ZAGS,23,22.0,17.6,90,6.6,11.0,0.597,98,0.4,1.0,0.375,86,4.1,5.2,0.783,77,2.1,5.1,7.2,77,1.4,63,0.7,74,0.5,70,1.7,2.9,80
88,Ahmad Robinson,MER,23,31.4,17.6,90,5.7,13.0,0.44,90,1.8,4.9,0.363,85,4.3,6.0,0.719,70,0.5,4.3,4.8,71,5.4,84,2.2,91,0.3,65,3.7,2.9,81
89,Yaxel Lendeborg,UAB,22,31.9,17.6,90,6.8,12.0,0.568,97,0.6,1.9,0.333,82,3.3,4.6,0.716,70,3.5,6.9,10.4,99,4.4,74,1.5,85,1.7,85,2.3,2.3,86
90,Josh Hubbard,MISST,22,32.0,17.6,90,5.6,14.1,0.399,87,3.2,8.9,0.364,85,3.1,3.6,0.861,85,0.3,1.8,2.1,64,3.0,69,0.8,76,0.1,62,1.0,1.8,78
91,Isaiah Hawthorne,NOCOL,21,29.5,17.6,90,6.0,12.3,0.484,94,2.1,5.5,0.383,87,3.6,4.1,0.862,85,1.0,4.7,5.7,73,1.2,62,1.2,83,0.5,70,1.7,2.1,81
92,Jason Edwards,VANDY,21,24.0,17.6,90,5.4,12.0,0.452,91,2.0,5.3,0.375,86,4.7,5.5,0.853,84,0.2,2.0,2.2,64,1.4,63,0.9,78,0.0,60,1.7,1.5,77
93,Jaden Seymour,ETSU,23,31.2,17.6,90,5.9,13.3,0.443,90,1.5,4.3,0.34,83,4.3,6.0,0.719,70,2.3,4.9,7.2,77,2.3,69,0.9,78,1.1,80,2.3,2.3,80
94,C.J. Walker,ECAR,22,31.4,17.5,90,6.5,12.3,0.526,96,0.4,1.4,0.29,78,4.2,6.0,0.699,68,2.8,4.0,6.8,76,0.8,61,0.6,72,0.8,78,1.7,2.8,78
95,Dylan Darling,IDHST,18,32.5,17.5,90,5.1,12.0,0.421,89,1.8,4.7,0.376,86,5.6,6.9,0.808,79,0.2,2.7,2.9,66,5.9,89,1.4,84,0.6,74,2.4,1.5,83
96,Bryce Johnson,UMBC,23,31.5,17.5,90,6.0,11.6,0.513,95,1.7,4.3,0.38,87,3.9,5.2,0.75,74,0.7,3.0,3.7,68,2.7,69,0.9,78,0.7,76,1.3,1.6,80
97,R.J. Luis,STJ,22,30.2,17.5,90,6.3,13.8,0.455,91,1.0,3.5,0.286,77,3.9,5.2,0.748,73,2.0,4.6,6.6,75,2.4,69,1.4,84,0.5,70,2.0,2.3,79
98,Rahsool Diggins,UMass,22,34.3,17.5,90,5.9,15.3,0.387,86,2.9,8.7,0.335,82,2.7,3.3,0.833,82,0.7,2.2,2.9,66,2.7,69,1.2,83,0.3,65,2.3,2.1,78
99,Layne Taylor,UCA,20,35.5,17.4,89,6.1,15.5,0.392,87,3.2,9.5,0.337,82,2.1,2.4,0.894,88,0.6,3.0,3.6,68,3.7,71,1.9,89,0.2,63,1.7,1.7,80
100,Langston Reynolds,NOCOL,21,32.6,17.4,89,6.7,10.8,0.621,99,0.5,1.4,0.333,82,3.5,5.0,0.695,68,1.2,4.7,5.9,73,3.6,70,1.0,80,0.6,74,2.9,2.4,80
101,"Walter Clayton, Jr.",FLA,21,31.4,17.4,89,6.0,13.3,0.45,91,2.7,7.4,0.359,84,2.7,3.1,0.864,85,0.3,3.0,3.3,67,3.8,71,1.3,84,0.5,70,2.4,1.8,81
102,R.J. Davis,UNC,23,34.8,17.3,89,5.7,14.3,0.396,87,2.1,6.8,0.308,79,4.0,4.5,0.875,86,0.3,3.5,3.9,68,3.9,72,1.1,82,0.0,60,1.7,1.9,78
103,Cam Carter,LSU,21,33.0,17.3,89,5.7,12.7,0.446,90,2.3,5.9,0.395,88,3.7,4.2,0.865,85,0.4,3.9,4.3,69,2.5,69,1.4,84,0.5,70,2.4,2.1,81
104,Darryl Simmons II,GWU,22,32.5,17.3,89,6.4,14.4,0.443,90,3.0,6.9,0.428,91,1.6,1.7,0.947,93,0.5,2.6,3.1,66,1.9,68,1.0,80,0.1,62,2.0,1.7,80
105,Oscar Cluff,SDKSU,22,27.2,17.3,89,6.8,10.4,0.655,99,0.1,0.2,0.5,99,3.5,4.5,0.788,77,4.4,8.4,12.8,99,2.9,69,0.4,69,1.0,80,2.1,2.0,86
106,Tyler McGhie,UCSD,22,30.5,17.3,89,6.0,13.7,0.44,90,3.5,8.8,0.399,88,1.7,2.0,0.86,85,0.3,4.0,4.2,69,1.6,65,1.1,82,0.3,65,0.7,1.4,80
107,Shelton Williams-Dryden,UWG,23,29.4,17.3,89,7.3,12.7,0.577,97,0.1,0.3,0.375,86,2.5,3.7,0.682,67,2.7,4.7,7.4,78,1.3,63,1.3,84,0.2,63,1.7,2.6,79
108,Owen Koonce,POLY,23,30.7,17.3,89,6.2,11.7,0.534,96,2.0,4.9,0.42,91,2.8,3.1,0.901,89,1.6,3.7,5.3,72,1.7,66,1.1,82,0.6,74,2.8,2.7,83
109,Chase Hunter,CLEM,22,33.1,17.2,89,5.8,11.6,0.496,94,2.5,5.7,0.448,93,3.1,3.5,0.896,88,0.4,2.3,2.7,65,2.4,69,1.2,83,0.2,63,1.6,1.7,81
110,Davion Bailey,UIW,23,32.9,17.2,89,5.8,13.3,0.438,89,3.5,8.9,0.395,88,2.0,2.7,0.746,73,0.2,2.8,3.0,66,1.1,62,1.3,84,0.3,65,0.7,2.2,77
111,Paul Zilinskas,IUI,23,30.4,17.2,89,5.7,12.9,0.441,90,3.0,7.1,0.415,90,2.9,3.3,0.88,87,0.7,2.3,3.0,66,1.7,66,0.9,78,0.2,63,1.8,1.9,79
112,Marcus Dockery,HWRD,21,34.7,17.2,89,6.4,13.1,0.489,94,2.7,6.5,0.416,90,1.6,2.0,0.829,81,0.5,2.1,2.6,65,2.3,69,1.1,82,0.0,60,1.7,1.0,79
113,Bruce Thornton,OSU,22,35.3,17.2,89,5.5,10.8,0.513,95,2.0,4.5,0.459,94,4.0,4.9,0.832,82,0.5,3.0,3.5,67,4.2,73,1.0,80,0.1,62,1.5,1.5,81
114,Robert McCray V,JAC,22,30.1,17.2,89,6.4,14.2,0.45,91,1.6,4.8,0.34,83,2.7,3.5,0.789,77,1.0,3.4,4.4,70,4.5,75,1.7,87,0.7,76,3.5,2.5,81
115,John Camden,DEL,23,33.0,17.2,89,5.7,11.7,0.481,94,2.6,6.0,0.438,92,3.3,4.2,0.773,76,0.8,4.4,5.2,72,2.0,69,1.1,82,0.4,67,1.3,1.7,81
116,Robbie Avila,STLOU,19,32.8,17.2,89,5.7,11.3,0.509,95,1.6,4.6,0.356,84,4.1,5.4,0.748,73,0.8,5.9,6.7,75,4.2,73,1.2,83,0.8,78,3.3,2.1,82
117,Brooks Barnhizer,NWU,17,37.0,17.1,89,6.1,14.6,0.414,88,1.0,3.8,0.266,75,4.0,5.2,0.764,75,1.5,7.3,8.8,88,4.2,73,2.3,92,1.1,80,2.8,1.7,83
118,Malachi Davis,LIU,24,32.5,17.0,89,6.4,16.0,0.398,87,1.3,4.7,0.283,77,3.0,3.7,0.798,78,0.3,2.5,2.8,66,3.0,69,1.7,87,0.2,63,3.5,2.5,77
119,Jaland Lowe,PITT,22,35.4,17.0,89,5.4,14.2,0.38,86,1.4,5.0,0.275,76,4.8,5.5,0.875,86,0.8,3.5,4.2,69,5.5,85,1.8,88,0.3,65,3.0,2.1,81
120,Jalen Rucker,USMA,22,31.7,17.0,89,6.4,14.7,0.432,89,2.4,6.5,0.366,85,1.9,2.5,0.759,74,0.3,3.8,4.1,69,3.0,69,1.5,85,0.1,62,2.3,1.6,78
121,Jamir Simpson,SUU,22,31.2,17.0,89,5.5,12.7,0.437,89,1.3,3.6,0.354,84,4.6,5.5,0.828,81,1.1,3.7,4.8,71,1.8,67,0.4,69,0.1,62,2.5,1.7,77
122,Obi Agbim,UWYOM,21,32.6,17.0,89,6.0,12.1,0.492,94,2.6,5.7,0.458,94,2.4,3.1,0.785,77,0.5,2.8,3.2,67,3.4,69,1.0,80,0.3,65,2.2,2.0,80
123,Tyler Tejada,TOWS,17,31.8,16.9,88,6.2,14.5,0.425,89,1.8,5.4,0.326,81,2.8,3.4,0.825,81,0.6,3.9,4.5,70,0.6,61,0.4,69,0.2,63,1.6,0.8,76
124,Matt Rogers,AMERU,23,27.3,16.8,88,6.3,11.5,0.549,96,1.8,4.2,0.438,92,2.3,3.0,0.783,77,1.4,4.3,5.7,73,1.3,63,0.6,72,0.4,67,2.1,2.7,79
125,Nik Graves,CHAR,22,34.2,16.8,88,4.9,11.9,0.414,88,1.5,5.1,0.292,78,5.5,7.3,0.75,74,1.1,3.0,4.1,69,3.0,69,0.9,78,0.2,63,1.5,2.1,76
126,Marcus Johnson,BGSU,21,31.0,16.8,88,5.9,12.8,0.461,92,2.4,6.2,0.392,88,2.5,2.9,0.883,87,1.2,3.4,4.7,70,1.6,65,0.8,76,0.1,62,2.3,2.1,79
127,Rashad King,NEU,23,35.7,16.7,88,6.0,13.7,0.439,89,1.3,4.1,0.316,80,3.4,4.3,0.79,78,1.3,5.3,6.6,75,3.7,71,1.6,86,0.9,79,2.6,2.2,81
128,Owen Freeman,IOWA,19,26.5,16.7,88,7.1,11.1,0.638,99,0.3,0.8,0.313,80,2.4,3.9,0.6,60,2.1,4.7,6.7,75,1.3,63,0.6,72,1.8,88,1.8,2.7,79
129,Amarri Monroe,QUIN,22,32.4,16.7,88,5.8,14.8,0.394,87,1.5,5.7,0.264,75,3.6,4.6,0.775,76,1.9,6.0,7.9,79,1.6,65,2.5,94,0.8,78,2.4,1.7,81
130,Kaleb Banks,TULAN,21,31.5,16.7,88,5.6,11.0,0.511,95,1.5,4.4,0.333,82,4.0,5.1,0.785,77,2.2,5.0,7.3,78,1.0,62,0.9,78,1.2,80,0.8,2.4,80
131,Ryan Cornish,DART,18,27.9,16.7,88,5.5,12.8,0.43,89,1.7,4.3,0.385,87,4.0,5.3,0.75,74,0.4,4.4,4.8,71,3.3,69,1.6,86,0.2,63,2.5,2.7,79
132,Ali Abdou Dibba,SOILL,23,32.7,16.7,88,6.3,13.0,0.49,94,0.9,2.9,0.299,78,3.1,4.4,0.696,68,1.2,3.0,4.3,69,2.1,69,1.6,86,0.2,63,1.9,1.6,77
133,Sam Hines,SELU,23,32.5,16.6,88,6.3,12.4,0.507,95,0.7,1.7,0.4,89,3.3,4.3,0.768,75,1.5,4.8,6.3,74,2.1,69,1.0,80,0.5,70,2.0,3.2,80
134,Nakyel Shelton,EIU,21,33.8,16.6,88,5.7,13.4,0.423,89,1.5,4.5,0.326,81,3.8,4.5,0.84,83,1.0,4.1,5.1,71,2.0,69,1.3,84,0.9,79,2.4,3.0,81
135,Jacari Lane,UNA,23,32.9,16.6,88,5.7,13.6,0.422,89,2.0,5.3,0.377,86,3.1,4.0,0.78,77,0.6,2.6,3.2,67,4.3,74,1.4,84,0.0,60,2.0,1.6,79
136,Po'Boigh King,NCCU,23,29.8,16.5,88,5.7,12.9,0.441,90,2.0,6.5,0.315,80,3.1,4.1,0.755,74,1.0,2.0,3.0,66,1.8,67,1.3,84,0.1,62,1.6,2.0,77
137,Ishmael Leggett,PITT,21,35.1,16.5,88,6.0,12.5,0.477,93,1.4,4.0,0.341,83,3.2,4.0,0.807,79,1.1,4.6,5.7,73,2.7,69,1.8,88,0.4,67,2.0,2.4,80
138,Zach Freemantle,XAV,19,31.4,16.5,88,6.1,12.3,0.494,94,0.8,2.9,0.286,77,3.5,4.7,0.744,73,1.7,5.6,7.4,78,2.4,69,1.1,82,1.0,80,1.6,2.1,81
139,Robert Smith,DESU,22,29.2,16.5,88,6.1,14.9,0.413,88,2.5,7.3,0.335,82,1.7,2.4,0.717,70,0.5,2.8,3.2,67,3.2,69,1.0,80,0.1,62,2.4,1.6,76
140,Noah Williamson,BUCK,23,29.6,16.4,87,5.7,11.3,0.502,95,0.9,2.9,0.313,80,4.2,7.1,0.591,60,1.3,6.0,7.3,78,1.5,64,0.8,76,1.0,80,3.0,2.8,78
