#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
109,Chase Hunter,CLEM,22,33.1,17.2,5.8,11.6,.496,2.5,5.7,.448,3.1,3.5,.896,0.4,2.3,2.7,2.4,1.2,0.2,1.6,1.7
110,Davion Bailey,UIW,23,32.9,17.2,5.8,13.3,.438,3.5,8.9,.395,2.0,2.7,.746,0.2,2.8,3.0,1.1,1.3,0.3,0.7,2.2
111,Paul Zilinskas,IUI,23,30.4,17.2,5.7,12.9,.441,3.0,7.1,.415,2.9,3.3,.880,0.7,2.3,3.0,1.7,0.9,0.2,1.8,1.9
112,Marcus Dockery,HWRD,21,34.7,17.2,6.4,13.1,.489,2.7,6.5,.416,1.6,2.0,.829,0.5,2.1,2.6,2.3,1.1,0.0,1.7,1.0
113,Bruce Thornton,OSU,22,35.3,17.2,5.5,10.8,.513,2.0,4.5,.459,4.0,4.9,.832,0.5,3.0,3.5,4.2,1.0,0.1,1.5,1.5
114,Robert McCray V,JAC,22,30.1,17.2,6.4,14.2,.450,1.6,4.8,.340,2.7,3.5,.789,1.0,3.4,4.4,4.5,1.7,0.7,3.5,2.5
115,John Camden,DEL,23,33.0,17.2,5.7,11.7,.481,2.6,6.0,.438,3.3,4.2,.773,0.8,4.4,5.2,2.0,1.1,0.4,1.3,1.7
116,Robbie Avila,STLOU,19,32.8,17.2,5.7,11.3,.509,1.6,4.6,.356,4.1,5.4,.748,0.8,5.9,6.7,4.2,1.2,0.8,3.3,2.1
117,Brooks Barnhizer,NWU,17,37.0,17.1,6.1,14.6,.414,1.0,3.8,.266,4.0,5.2,.764,1.5,7.3,8.8,4.2,2.3,1.1,2.8,1.7
118,Malachi Davis,LIU,24,32.5,17.0,6.4,16.0,.398,1.3,4.7,.283,3.0,3.7,.798,0.3,2.5,2.8,3.0,1.7,0.2,3.5,2.5
119,Jaland Lowe,PITT,22,35.4,17.0,5.4,14.2,.380,1.4,5.0,.275,4.8,5.5,.875,0.8,3.5,4.2,5.5,1.8,0.3,3.0,2.1
120,Jalen Rucker,USMA,22,31.7,17.0,6.4,14.7,.432,2.4,6.5,.366,1.9,2.5,.759,0.3,3.8,4.1,3.0,1.5,0.1,2.3,1.6
121,Jamir Simpson,SUU,22,31.2,17.0,5.5,12.7,.437,1.3,3.6,.354,4.6,5.5,.828,1.1,3.7,4.8,1.8,0.4,0.1,2.5,1.7
122,Obi Agbim,UWYOM,21,32.6,17.0,6.0,12.1,.492,2.6,5.7,.458,2.4,3.1,.785,0.5,2.8,3.2,3.4,1.0,0.3,2.2,2.0
123,Tyler Tejada,TOWS,17,31.8,16.9,6.2,14.5,.425,1.8,5.4,.326,2.8,3.4,.825,0.6,3.9,4.5,0.6,0.4,0.2,1.6,0.8
124,Matt Rogers,AMERU,23,27.3,16.8,6.3,11.5,.549,1.8,4.2,.438,2.3,3.0,.783,1.4,4.3,5.7,1.3,0.6,0.4,2.1,2.7
125,Nik Graves,CHAR,22,34.2,16.8,4.9,11.9,.414,1.5,5.1,.292,5.5,7.3,.750,1.1,3.0,4.1,3.0,0.9,0.2,1.5,2.1
126,Marcus Johnson,BGSU,21,31.0,16.8,5.9,12.8,.461,2.4,6.2,.392,2.5,2.9,.883,1.2,3.4,4.7,1.6,0.8,0.1,2.3,2.1
127,Rashad King,NEU,23,35.7,16.7,6.0,13.7,.439,1.3,4.1,.316,3.4,4.3,.790,1.3,5.3,6.6,3.7,1.6,0.9,2.6,2.2
128,Owen Freeman,IOWA,19,26.5,16.7,7.1,11.1,.638,0.3,0.8,.313,2.4,3.9,.600,2.1,4.7,6.7,1.3,0.6,1.8,1.8,2.7
129,Amarri Monroe,QUIN,22,32.4,16.7,5.8,14.8,.394,1.5,5.7,.264,3.6,4.6,.775,1.9,6.0,7.9,1.6,2.5,0.8,2.4,1.7
130,Kaleb Banks,TULAN,21,31.5,16.7,5.6,11.0,.511,1.5,4.4,.333,4.0,5.1,.785,2.2,5.0,7.3,1.0,0.9,1.2,0.8,2.4
131,Ryan Cornish,DART,18,27.9,16.7,5.5,12.8,.430,1.7,4.3,.385,4.0,5.3,.750,0.4,4.4,4.8,3.3,1.6,0.2,2.5,2.7
132,Ali Abdou Dibba,SOILL,23,32.7,16.7,6.3,13.0,.490,0.9,2.9,.299,3.1,4.4,.696,1.2,3.0,4.3,2.1,1.6,0.2,1.9,1.6
133,Sam Hines,SELU,23,32.5,16.6,6.3,12.4,.507,0.7,1.7,.400,3.3,4.3,.768,1.5,4.8,6.3,2.1,1.0,0.5,2.0,3.2
134,Nakyel Shelton,EIU,21,33.8,16.6,5.7,13.4,.423,1.5,4.5,.326,3.8,4.5,.840,1.0,4.1,5.1,2.0,1.3,0.9,2.4,3.0
135,Jacari Lane,UNA,23,32.9,16.6,5.7,13.6,.422,2.0,5.3,.377,3.1,4.0,.780,0.6,2.6,3.2,4.3,1.4,0.0,2.0,1.6
136,Po'Boigh King,NCCU,23,29.8,16.5,5.7,12.9,.441,2.0,6.5,.315,3.1,4.1,.755,1.0,2.0,3.0,1.8,1.3,0.1,1.6,2.0
137,Ishmael Leggett,PITT,21,35.1,16.5,6.0,12.5,.477,1.4,4.0,.341,3.2,4.0,.807,1.1,4.6,5.7,2.7,1.8,0.4,2.0,2.4
138,Zach Freemantle,XAV,19,31.4,16.5,6.1,12.3,.494,0.8,2.9,.286,3.5,4.7,.744,1.7,5.6,7.4,2.4,1.1,1.0,1.6,2.1
139,Robert Smith,DESU,22,29.2,16.5,6.1,14.9,.413,2.5,7.3,.335,1.7,2.4,.717,0.5,2.8,3.2,3.2,1.0,0.1,2.4,1.6
140,Noah Williamson,BUCK,23,29.6,16.4,5.7,11.3,.502,0.9,2.9,.313,4.2,7.1,.591,1.3,6.0,7.3,1.5,0.8,1.0,3.0,2.8
141,Hunter Dickinson,KU,21,29.9,16.4,6.8,12.9,.526,0.3,1.3,.222,2.6,3.3,.797,2.7,7.0,9.7,2.2,1.1,1.4,1.8,2.1
142,Xaivian Lee,PRIN,21,31.2,16.4,5.8,13.4,.434,1.7,4.7,.354,3.1,4.2,.750,0.9,4.8,5.6,5.4,1.2,0.3,2.1,2.2
143,Denijay Harris,SOMIS,22,34.2,16.4,5.5,11.3,.488,0.7,2.0,.364,4.7,6.6,.710,2.3,8.5,10.8,1.3,0.6,1.6,2.7,1.6
144,Ryan Sabol,BUFF,21,33.7,16.4,5.1,11.7,.441,3.2,7.9,.410,2.9,3.2,.882,0.3,2.4,2.7,2.1,0.7,0.0,1.7,1.2
145,Josh Pascarelli,MRST,19,34.3,16.4,6.3,12.9,.486,2.5,6.1,.414,1.3,1.7,.758,0.5,3.2,3.7,2.3,1.0,0.1,1.7,1.3
146,Ian Martinez,USU,22,29.1,16.4,4.8,11.3,.426,2.3,6.3,.370,4.4,5.2,.851,0.7,2.5,3.2,3.0,0.9,0.3,1.6,1.9
147,Adou Thiero,ARK,20,28.8,16.4,5.6,9.9,.569,0.4,1.7,.235,4.8,6.7,.714,2.0,4.4,6.3,1.8,1.9,0.9,1.9,2.6
