Rank,Player Name,Team,Pos,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
1995,Kiran Oliver,MORG,G,28,16.8,5.9,2.3,4.5,51.6,0.5,1.8,28.6,0.7,0.9,76.9,3.3,0.7,0.4,0.3,0.7
1996,Saxby Sunderland,CHST,G,28,21.1,5.9,1.8,4.8,36.3,0.6,2.1,28.3,1.8,2.2,80.3,2.1,1.5,0.7,0.1,1.4
1997,Dionte Johnson,NCCU,G,28,19.1,5.9,2.1,5.3,40.3,0.3,1.4,23.1,1.3,1.7,74.5,2.5,3.9,1.3,0,2
1998,Amir Lindsey,ALB,G,28,18.5,5.9,2.2,5.1,42.7,1,2.8,35.4,0.5,0.5,93.3,1.5,1.2,0.9,0.1,0.5
1999,Javon Ruffin,COLO,G,27,20.9,5.9,2.1,5.4,38.4,0.9,2.7,32.9,0.8,1.1,75.9,1.9,2.1,0.6,0.3,1.6
2000,Brandon Muntu,WMU,G,29,17.9,5.8,2,5.4,36.5,1.2,3.9,31.9,0.7,0.8,86.4,1.8,0.5,0.4,0,0.2
2001,Brandon Garrison,UK,F,28,17.5,5.8,2.5,4.7,52.7,0.3,1,32.1,0.6,1.1,51.6,4,1.9,0.7,0.7,1.2
2002,Trevan Leonhardt,UVU,G,28,27.4,5.8,2.1,4.6,45.4,0.8,2,40.4,0.8,1,81.5,4.4,5.4,1.6,0.3,1.5
2003,Jamal Sumlin,KENT,G,28,19.4,5.8,2.2,4.6,48.1,0.4,0.9,38.5,1,1.3,82.9,2.9,2,0.8,0.1,1.3
2004,Dillon Hunter,CLEM,G,27,23.3,5.8,2,5,40.7,0.9,2.7,31.5,0.9,1.4,61.5,2.6,2.1,1,0.1,0.5
2005,Dian Wright-Forde,AMCC,G,27,14.9,5.8,2.1,4.6,45.5,0.1,0.7,15.8,1.6,2.2,70,1.2,1.5,0.6,0.1,1
2006,Davian Williams,ALCN,G,27,20.7,5.8,2.1,6.1,33.7,0.8,3,26.2,0.9,1.3,68.6,2,1.6,1.4,0.1,1.2
2007,Brandon Morgan,WCU,G,27,23,5.8,2,5.9,34.2,1,3.4,29,0.8,1.2,68.8,2.8,2.4,0.6,0.1,1.5
2008,Maki Johnson,ETSU,G,31,17.3,5.8,1.8,5.2,35.2,1.4,4.2,34.1,0.7,1,73.3,2.2,0.7,0.8,0.2,0.5
