#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
148,Zach Freemantle,XAV,25,31.2,16.6,6.2,12.4,.498,1.0,3.2,.300,3.2,4.3,.757,1.7,5.4,7.1,2.0,1.1,0.8,1.8,1.9
149,"Donald Hand, Jr.",BOS,27,33.2,16.6,4.9,12.2,.398,2.4,6.1,.388,4.5,5.2,.865,1.0,5.4,6.3,1.3,0.6,0.2,1.4,1.7
150,Ahmad Robinson,MER,29,30.8,16.6,5.5,12.8,.429,1.5,4.7,.321,4.1,5.7,.715,0.5,4.1,4.6,5.0,2.0,0.2,3.9,2.7
151,Marko Maletic,WIU,29,29.4,16.6,5.6,12.1,.462,3.1,6.5,.471,2.3,2.9,.807,0.6,3.0,3.6,0.6,0.8,0.1,1.6,1.7
152,Myles Tate,APPST,28,34.1,16.5,5.7,13.8,.416,2.1,5.9,.360,3.0,4.1,.737,0.4,4.8,5.2,5.6,2.1,0.1,2.7,2.1
153,Jaden Seymour,ETSU,27,30.3,16.5,5.4,12.7,.429,1.3,4.0,.324,4.3,5.9,.731,2.0,4.6,6.6,2.3,0.9,1.1,2.1,2.5
154,Robert McCray V,JAC,27,29.6,16.5,6.2,14.4,.432,1.5,4.7,.325,2.6,3.4,.750,1.0,3.5,4.6,4.3,1.4,0.7,3.4,2.3
155,Sam Hines,SELU,28,32.6,16.5,6.2,12.6,.494,0.7,1.8,.373,3.4,4.3,.777,1.7,4.5,6.3,2.0,1.0,0.6,2.0,3.2
156,Xzayvier Brown,STJOE,24,35.5,16.5,5.1,12.3,.414,1.8,5.4,.326,4.5,5.1,.893,0.6,4.3,4.9,4.8,1.5,0.0,2.6,1.9
157,Josh Uduje,SJSU,27,31.3,16.4,6.1,12.3,.498,1.4,3.8,.369,2.7,3.5,.787,1.4,3.0,4.4,1.5,1.1,0.4,1.9,2.2
